900 0.900000
5.899999999999999689e-02 2.560710000000000264e+02 0.000000000000000000e+00
5.999999999999999778e-02 2.604859999999999900e+02 0.000000000000000000e+00
6.099999999999999867e-02 2.649010000000000105e+02 0.000000000000000000e+00
6.199999999999999956e-02 2.693159999999999741e+02 0.000000000000000000e+00
6.300000000000000044e-02 2.737309999999999945e+02 0.000000000000000000e+00
6.400000000000000133e-02 2.781460000000000150e+02 0.000000000000000000e+00
6.500000000000000222e-02 2.825609999999999786e+02 0.000000000000000000e+00
6.600000000000000311e-02 2.869759999999999991e+02 0.000000000000000000e+00
6.700000000000000400e-02 2.913910000000000196e+02 0.000000000000000000e+00
6.800000000000000488e-02 2.958059999999999832e+02 0.000000000000000000e+00
6.900000000000000577e-02 3.002210000000000036e+02 0.000000000000000000e+00
7.000000000000000666e-02 3.046360000000000241e+02 0.000000000000000000e+00
7.099999999999999367e-02 3.090509999999999877e+02 0.000000000000000000e+00
7.199999999999999456e-02 3.134660000000000082e+02 0.000000000000000000e+00
7.299999999999999545e-02 3.178809999999999718e+02 0.000000000000000000e+00
7.399999999999999634e-02 3.222959999999999923e+02 0.000000000000000000e+00
7.499999999999999722e-02 3.267110000000000127e+02 0.000000000000000000e+00
7.599999999999999811e-02 3.311259999999999764e+02 0.000000000000000000e+00
7.699999999999999900e-02 3.355409999999999968e+02 0.000000000000000000e+00
7.799999999999999989e-02 3.399560000000000173e+02 0.000000000000000000e+00
7.900000000000000078e-02 3.443709999999999809e+02 0.000000000000000000e+00
8.000000000000000167e-02 3.487860000000000014e+02 0.000000000000000000e+00
8.100000000000000255e-02 3.532010000000000218e+02 0.000000000000000000e+00
8.200000000000000344e-02 3.576159999999999854e+02 0.000000000000000000e+00
8.300000000000000433e-02 3.620310000000000059e+02 0.000000000000000000e+00
8.400000000000000522e-02 3.664460000000000264e+02 0.000000000000000000e+00
8.500000000000000611e-02 3.708609999999999900e+02 0.000000000000000000e+00
8.599999999999999312e-02 3.752760000000000105e+02 0.000000000000000000e+00
8.699999999999999400e-02 3.796909999999999741e+02 0.000000000000000000e+00
8.799999999999999489e-02 3.841059999999999945e+02 0.000000000000000000e+00
8.899999999999999578e-02 3.885210000000000150e+02 0.000000000000000000e+00
8.999999999999999667e-02 3.929359999999999786e+02 0.000000000000000000e+00
9.099999999999999756e-02 3.973509999999999991e+02 0.000000000000000000e+00
9.199999999999999845e-02 4.017660000000000196e+02 0.000000000000000000e+00
9.299999999999999933e-02 4.061809999999999832e+02 0.000000000000000000e+00
9.400000000000000022e-02 4.105960000000000036e+02 0.000000000000000000e+00
9.500000000000000111e-02 4.150110000000000241e+02 0.000000000000000000e+00
9.600000000000000200e-02 4.194259999999999877e+02 0.000000000000000000e+00
9.700000000000000289e-02 4.238410000000000082e+02 0.000000000000000000e+00
9.800000000000000377e-02 4.282559999999999718e+02 0.000000000000000000e+00
9.900000000000000466e-02 4.326709999999999923e+02 0.000000000000000000e+00
1.000000000000000056e-01 4.370860000000000127e+02 0.000000000000000000e+00
1.010000000000000064e-01 4.415009999999999764e+02 0.000000000000000000e+00
1.019999999999999934e-01 4.459159999999999968e+02 0.000000000000000000e+00
1.029999999999999943e-01 4.503310000000000173e+02 0.000000000000000000e+00
1.039999999999999952e-01 4.547459999999999809e+02 0.000000000000000000e+00
1.049999999999999961e-01 4.591610000000000014e+02 0.000000000000000000e+00
1.059999999999999970e-01 4.635760000000000218e+02 0.000000000000000000e+00
1.069999999999999979e-01 4.679909999999999854e+02 0.000000000000000000e+00
1.079999999999999988e-01 4.724060000000000059e+02 0.000000000000000000e+00
1.089999999999999997e-01 4.768210000000000264e+02 0.000000000000000000e+00
1.100000000000000006e-01 4.812359999999999900e+02 0.000000000000000000e+00
1.110000000000000014e-01 4.856510000000000105e+02 0.000000000000000000e+00
1.120000000000000023e-01 4.900659999999999741e+02 0.000000000000000000e+00
1.130000000000000032e-01 4.944809999999999945e+02 0.000000000000000000e+00
1.140000000000000041e-01 4.988960000000000150e+02 0.000000000000000000e+00
1.150000000000000050e-01 5.033109999999999786e+02 0.000000000000000000e+00
1.160000000000000059e-01 5.077259999999999991e+02 0.000000000000000000e+00
1.170000000000000068e-01 5.121409999999999627e+02 0.000000000000000000e+00
1.179999999999999938e-01 5.165560000000000400e+02 0.000000000000000000e+00
1.189999999999999947e-01 5.209710000000000036e+02 0.000000000000000000e+00
1.199999999999999956e-01 5.253859999999999673e+02 0.000000000000000000e+00
1.209999999999999964e-01 5.298010000000000446e+02 0.000000000000000000e+00
1.219999999999999973e-01 5.342160000000000082e+02 0.000000000000000000e+00
1.229999999999999982e-01 5.386309999999999718e+02 0.000000000000000000e+00
1.239999999999999991e-01 5.430460000000000491e+02 0.000000000000000000e+00
1.250000000000000000e-01 5.474610000000000127e+02 0.000000000000000000e+00
1.260000000000000009e-01 5.518759999999999764e+02 0.000000000000000000e+00
1.270000000000000018e-01 5.562910000000000537e+02 0.000000000000000000e+00
1.280000000000000027e-01 5.607060000000000173e+02 0.000000000000000000e+00
1.290000000000000036e-01 5.651209999999999809e+02 0.000000000000000000e+00
1.300000000000000044e-01 5.695359999999999445e+02 0.000000000000000000e+00
1.310000000000000053e-01 5.739510000000000218e+02 0.000000000000000000e+00
1.320000000000000062e-01 5.783659999999999854e+02 0.000000000000000000e+00
1.330000000000000071e-01 5.827809999999999491e+02 0.000000000000000000e+00
1.340000000000000080e-01 5.871960000000000264e+02 0.000000000000000000e+00
1.350000000000000089e-01 5.916109999999999900e+02 0.000000000000000000e+00
1.360000000000000098e-01 5.960259999999999536e+02 0.000000000000000000e+00
1.370000000000000107e-01 6.004420000000000073e+02 0.000000000000000000e+00
1.380000000000000115e-01 6.048569999999999709e+02 0.000000000000000000e+00
1.390000000000000124e-01 6.092720000000000482e+02 0.000000000000000000e+00
1.400000000000000133e-01 6.136870000000000118e+02 0.000000000000000000e+00
1.409999999999999865e-01 6.181019999999999754e+02 0.000000000000000000e+00
1.419999999999999873e-01 6.225170000000000528e+02 0.000000000000000000e+00
1.429999999999999882e-01 6.269320000000000164e+02 0.000000000000000000e+00
1.439999999999999891e-01 6.313469999999999800e+02 0.000000000000000000e+00
1.449999999999999900e-01 6.357619999999999436e+02 0.000000000000000000e+00
1.459999999999999909e-01 6.401770000000000209e+02 0.000000000000000000e+00
1.469999999999999918e-01 6.445919999999999845e+02 0.000000000000000000e+00
1.479999999999999927e-01 6.490069999999999482e+02 0.000000000000000000e+00
1.489999999999999936e-01 6.534220000000000255e+02 0.000000000000000000e+00
1.499999999999999944e-01 6.578369999999999891e+02 0.000000000000000000e+00
1.509999999999999953e-01 6.622519999999999527e+02 0.000000000000000000e+00
1.519999999999999962e-01 6.666670000000000300e+02 0.000000000000000000e+00
1.529999999999999971e-01 6.710819999999999936e+02 0.000000000000000000e+00
1.539999999999999980e-01 6.754969999999999573e+02 0.000000000000000000e+00
1.549999999999999989e-01 6.799120000000000346e+02 0.000000000000000000e+00
1.559999999999999998e-01 6.843269999999999982e+02 0.000000000000000000e+00
1.570000000000000007e-01 6.887419999999999618e+02 0.000000000000000000e+00
1.580000000000000016e-01 6.931570000000000391e+02 0.000000000000000000e+00
1.590000000000000024e-01 6.975720000000000027e+02 0.000000000000000000e+00
