PointIds,X,Y,Z,ScalarGradient:0,ScalarGradient:1,ScalarGradient:2
24,213.92503848,226.18066717,0.0,-0.8504614026467491,0.0882646334371578,-0.12269809768628587
25,211.69209444,226.36641849,0.0,-0.83652183250452,0.061291922851112825,-0.1334273773627461
26,209.45713526,226.52709701,0.0,-0.8306082802367968,0.05246835355798666,-0.14126172339573448
27,207.22007454,226.64815821,0.0,-0.8195602179947247,0.03801153663226953,-0.15596088656368692
28,204.97978304,226.6950506,0.0,-0.802571079050377,0.018404983412663275,-0.17679770603391845
29,202.73921213,226.67132364,0.0,-0.779371413072512,-0.009549702347739749,-0.18832818026392584
30,200.50006317,226.59523572,0.0,-0.7625684363057398,-0.02988141841068466,-0.18712592517956614
31,198.26596513,226.44118131,0.0,-0.7305851348458235,-0.06193363225483484,-0.18797070868167257
32,196.04388804,226.15225514,0.0,-0.6940907678101085,-0.08960166965412024,-0.2002028653072018
33,193.83713758,225.76443071,0.0,-0.6575675474269521,-0.1129909710489697,-0.20839396911930463
34,191.64491188,225.30381442,0.0,-0.6230090168387857,-0.13569639518666057,-0.19909767655619556
35,189.47537436,224.74998717,0.0,-0.5731618539690234,-0.16016709140581945,-0.19034744633910786
36,187.34768415,224.04710791,0.0,-0.5168585052591499,-0.17828763050443652,-0.19118962677253662
37,185.26474289,223.2221415,0.0,-0.4676830752791991,-0.18797952275699017,-0.19302311569813416
38,183.21555299,222.31775355,0.0,-0.42108750471509665,-0.19530169081134904,-0.1790937901327605
39,181.20881216,221.32394175,0.0,-0.3650791865186236,-0.19753810434448107,-0.16298664222426248
40,179.2712905,220.19827985,0.0,-0.3020991654895219,-0.19032024399235348,-0.15739431825148875
41,177.41443995,218.94516716,0.0,-0.2539436693752608,-0.17903816863966826,-0.15653812104753587
42,175.60867166,217.61988074,0.0,-0.2164658121130094,-0.1661403855073228,-0.15576324364829827
43,173.85822678,216.22248961,0.0,-0.1649126276562766,-0.14468692765624855,-0.13500748229359763
44,172.18916506,214.72738498,0.0,-0.11663989830691561,-0.1181712018909713,-0.11048542445174953
45,170.63202499,213.11720569,0.0,-0.07351622612956525,-0.08620701987658824,-0.1094430498235089
46,169.13884346,211.44749057,0.0,-0.04387744824678786,-0.05887588577777983,-0.10915960511033224
47,167.70799155,209.72387216,0.0,-0.010466637726102686,-0.022247407167696614,-0.09425426468835951
48,166.36179379,207.93254403,0.0,0.02449150182501426,0.02683995492572352,-0.07390831774765172
49,165.16283126,206.04087452,0.0,0.0531962191968933,0.07692522651963977,-0.07166934813928036
50,164.0458183,204.09941014,0.0,0.06893213811102732,0.11319622495460646,-0.0692880720877256
51,163.00349185,202.11645913,0.0,0.08333869640645337,0.15794639828330279,-0.06015889301449262
52,162.05625139,200.08573502,0.0,0.09502760947041307,0.22502938200464576,-0.039068008108918216
53,161.29336164,197.98052018,0.0,0.10038768694906575,0.2883321705496497,-0.033683627313425134
54,160.63667231,195.83943402,0.0,0.09907783824167633,0.3336212455284959,-0.035674297992829083
55,160.0738302,193.67113311,0.0,0.09276348918980136,0.38155361667032905,-0.036371848280893966
56,159.6239684,191.4759727,0.0,0.07206501011758136,0.4528116197004561,-0.023184931997449674
57,159.34511969,189.25395378,0.0,0.050235623234641924,0.5053974067807553,-0.01213736144888855
58,159.1854363,187.02052777,0.0,0.029523766658936548,0.5459065186343276,-0.016931760367913582
59,159.13262041,184.7808498,0.0,0.005383660210924267,0.5849444872496098,-0.027872234252917138
60,159.18707132,182.54072927,0.0,-0.03384193618559074,0.6321389451494261,-0.02795045742800331
61,159.37300369,180.30852384,0.0,-0.06724479730644828,0.6646337913933674,-0.023989980242659848
62,159.66429851,178.08820132,0.0,-0.09855652277146337,0.6910651017312136,-0.029716329888765353
