PointIds,X,Y,Z,ScalarGradient:0,ScalarGradient:1,ScalarGradient:2
0,225.95406622,207.08611452,0.0,-0.250441977140376,0.19928332788600742,0.17336042578813704
1,227.65718087,205.62839111,0.0,-0.21641072126615776,0.1898665600158441,0.15180055907911497
89,224.18717943,208.46584931,0.0,-0.2901305414261974,0.20701643581765436,0.19647324940569857
2,229.3164429,204.12163127,0.0,-0.18905766352506637,0.17962847924593914,0.13104907846143657
3,230.93567002,202.57170095,0.0,-0.16423219782809093,0.16812950649932165,0.10781718302818137
4,232.51227566,200.97915612,0.0,-0.10215963316859322,0.11778141189184559,0.09651099378913215
5,233.80190834,199.14547005,0.0,0.03355587938474864,-0.12241718384771272,0.05404088012977615
6,234.3843143,197.02648407,0.0,0.06676998377871175,-0.33260262129846313,0.029446926380692174
7,234.69540477,194.80673251,0.0,0.05649140708073577,-0.39603524260354955,0.03819563109597765
8,234.94897642,192.57969281,0.0,0.04232926721208067,-0.4379737031520165,0.04334628396185188
9,235.08358306,190.34196224,0.0,0.017686611254598084,-0.4912782361759194,0.04215979505090947
10,235.07792448,188.10147808,0.0,-0.016594756600802323,-0.5463155219552445,0.03894823278498118
11,234.92177914,185.86845088,0.0,-0.06336446420285435,-0.6023612061513081,0.03707470199889123
12,234.59858409,183.65186432,0.0,-0.1311134991104669,-0.6602388874138542,0.03809075438488304
13,234.04559773,181.47936274,0.0,-0.2062703983203927,-0.706135155640104,0.04620281430659646
14,233.29327168,179.37015856,0.0,-0.2802851468503931,-0.7357769466451008,0.05885933789137088
15,232.38477765,177.32436961,0.0,-0.36271142610514673,-0.7532306725372074,0.0641198377622726
16,231.330143,175.34777586,0.0,-0.4361515798968718,-0.7564094425090694,0.06887948892073811
17,230.11386514,173.46463348,0.0,-0.5103919013153156,-0.7490336874177981,0.07859593294616968
18,228.76421728,171.67618299,0.0,-0.5736085668323906,-0.7335413527459999,0.08652570733189913
19,227.31063728,169.97243881,0.0,-0.6236403206460062,-0.7143674693152047,0.09351552897012023
20,225.75999473,168.35485061,0.0,-0.6769924161050804,-0.6862559536001193,0.10253974895764202
21,224.10933843,166.83798184,0.0,-0.7267875212618086,-0.6515258079438817,0.11221134058681731
22,222.36647448,165.42921605,0.0,-0.7695290104940288,-0.6136501061564515,0.12143537071882182
23,220.55712537,164.10813056,0.0,-0.8015244816940355,-0.5782125486304289,0.1283336831793451
24,218.68524333,162.87629893,0.0,-0.8319072025479293,-0.5365716013323377,0.13557135747248775
25,216.74614579,161.75137327,0.0,-0.8602019742747947,-0.4868863344512306,0.14385681705849207
26,214.740644,160.75091509,0.0,-0.882180002205532,-0.43595428610508313,0.15175072103431628
27,212.68799855,159.85363971,0.0,-0.8964935214003079,-0.3885342315073723,0.1592853721453941
28,210.59082714,159.06535705,0.0,-0.9063773992847013,-0.3338340571086928,0.1680417027989437
29,208.44720799,158.40926712,0.0,-0.9098657585096613,-0.2733976650435543,0.17691053567970372
30,206.26081189,157.91690042,0.0,-0.9059366728372451,-0.2067968349474355,0.18480132649478
31,204.05012353,157.55871562,0.0,-0.8939020215991377,-0.1446755777733014,0.19005920222971498
32,201.82099027,157.34204933,0.0,-0.8718422945681495,-0.07959135621280337,0.19469783012731434
33,199.57984731,157.28880188,0.0,-0.8333487146179035,-0.0067491068351501786,0.19861953674937885
34,197.344977,157.45547505,0.0,-0.782553920772506,0.0641267527568012,0.19589467957006934
35,195.13016599,157.78206297,0.0,-0.7289248613916847,0.11606144770805116,0.1947497684533123
36,192.94364269,158.26534632,0.0,-0.6726711719074615,0.15581261416599,0.19408898709828995
37,190.79608648,158.90843214,0.0,-0.606340731938242,0.19132710592210742,0.1845534602570693
38,188.7080531,159.72362078,0.0,-0.5400528704971596,0.21745451480180633,0.16903679014962317
39,186.66531492,160.64356696,0.0,-0.4904066701837939,0.22889229756542462,0.15982137321546333
40,184.66934092,161.66167695,0.0,-0.44259381376822393,0.23449304867317408,0.15252485699474946
41,182.72201068,162.77229028,0.0,-0.3857736326461034,0.23370214199620387,0.14895675382323176
42,180.85169762,164.00815052,0.0,-0.3279097636054899,0.226668295883139,0.14668884410773722
43,179.04159781,165.32870107,0.0,-0.28096419433803804,0.21404365172566778,0.1520518014361658
44,177.30402759,166.74215657,0.0,-0.23115216354472023,0.1950259967418491,0.15712195726640812
45,175.65121259,168.25639209,0.0,-0.16745465671613005,0.15917120760445158,0.16721073028470482
46,174.14213722,169.91417632,0.0,-0.10636639201235543,0.11512762047884706,0.1695422017871717
47,172.7542056,171.67158014,0.0,-0.05524906915646801,0.06372120553215889,0.17226043064068716
48,171.49281846,173.52125766,0.0,-0.015043527561188123,0.0054967233801776596,0.18594164912293096
49,170.36592256,175.45852193,0.0,0.020261273873211073,-0.0771870820714144,0.2075481670392937
50,169.44095348,177.50057708,0.0,0.04091450569246868,-0.15792311158036434,0.22414991371394846
51,168.67857284,179.60599829,0.0,0.048616773646763055,-0.23274084460014718,0.23116583273758504
52,168.0812703,181.7627727,0.0,0.046381795417391534,-0.3073710640020401,0.23185499986490074
53,167.65669389,183.96305393,0.0,0.03113950158347267,-0.3886768515326064,0.22821770875960454
54,167.45041222,186.19531845,0.0,0.003512702216072893,-0.4702090862674911,0.2181333520210658
55,167.42171422,188.43459978,0.0,-0.034699109170575164,-0.536466619272823,0.2138593814582788
56,167.54977178,190.66981942,0.0,-0.07337184163206391,-0.5869719972930098,0.20642348790522477
57,167.83211068,192.89267434,0.0,-0.12990050274327058,-0.6381513051607266,0.20392007661064213
58,168.31218748,195.0824422,0.0,-0.2003986934144536,-0.6837211990435956,0.20381438349412265
59,168.96332033,197.22552652,0.0,-0.2644172522503922,-0.7134027148774926,0.19787147115804318
60,169.76580338,199.3152443,0.0,-0.33051575330553323,-0.7333453640130928,0.18979118327388259
61,170.71707249,201.34381879,0.0,-0.4009234690992991,-0.7435640970541852,0.18069222871976964
62,171.83699454,203.28581046,0.0,-0.4759683171920881,-0.7440942873582946,0.16808077117062817
63,173.10010195,205.13602818,0.0,-0.5415397896933455,-0.7347471519360415,0.15776272350682707
64,174.47256706,206.90582138,0.0,-0.5960542919368038,-0.7190846571667581,0.15074258883533445
65,175.94731926,208.59281316,0.0,-0.6530405473755864,-0.6939679732655044,0.1463519944279341
66,177.53701876,210.17344992,0.0,-0.7117429437060938,-0.6581333560906275,0.14305164421834185
67,179.23219894,211.63877262,0.0,-0.7610953488282837,-0.6181844122310917,0.1404958797467717
68,181.01299857,212.99648507,0.0,-0.8007290190434825,-0.5766582183214273,0.13903011918402136
69,182.87573536,214.24133439,0.0,-0.8394097987628366,-0.5237493451378775,0.13914848452014592
70,184.8249367,215.34866053,0.0,-0.8726931726703228,-0.46135406355754566,0.14137773260990016
71,186.85485218,216.29735502,0.0,-0.8965925126743937,-0.39573258942192185,0.14607553560176292
72,188.93828635,217.11863705,0.0,-0.9084765981919175,-0.3403183642412333,0.15134200471791479
73,191.06873688,217.81148043,0.0,-0.9138385968180008,-0.2767843313093081,0.15735211418725983
74,193.24363888,218.3549492,0.0,-0.9097351457394939,-0.20497056290960536,0.16500707135431317
75,195.45379476,218.72506665,0.0,-0.8951529611843082,-0.13506033493860578,0.1745535175515002
76,197.6821248,218.94017099,0.0,-0.8721547568846804,-0.07212891389491832,0.18259677012070474
77,199.92095388,218.99634211,0.0,-0.8389303414621511,-0.01111118693321149,0.19200353682488244
78,202.15948744,218.87582425,0.0,-0.7882711696181465,0.052314135385418986,0.20616593169431593
79,204.37368955,218.53166121,0.0,-0.7266815540103867,0.10694270126455468,0.22379542204201072
80,206.55469273,218.02700821,0.0,-0.6681226092895175,0.14407702453628304,0.23554155615415728
81,208.69637982,217.37152501,0.0,-0.6077621555844887,0.17244156702842786,0.24250765686995623
82,210.78931357,216.56829071,0.0,-0.5394928401758107,0.1936961842433329,0.24737256393726748
83,212.81738649,215.61382375,0.0,-0.48721679288759256,0.20233211686732663,0.2536008397356263
84,214.80322101,214.57570841,0.0,-0.44936596929628453,0.2068104840136482,0.25176387522783844
85,216.75186879,213.46821522,0.0,-0.41634602764881173,0.20993937708735408,0.2457475601725013
86,218.66806563,212.30470901,0.0,-0.38269475510049134,0.2104749163499913,0.23953641106169787
87,220.54134896,211.07336982,0.0,-0.34915858676270556,0.20998904955728023,0.22944361835302216
88,222.38198093,209.79432444,0.0,-0.31946259210529465,0.20943345158478133,0.2136951631088078
