PointIds,X,Y,Z,ScalarGradient:0,ScalarGradient:1,ScalarGradient:2
49,220.77179795,134.28470658,0.0,-0.8656518201698912,-0.38018469226489926,0.27355511103108215
50,218.60955826,133.68140895,0.0,-0.866235717116267,-0.38766386908432754,0.2670027999655185
51,216.45525231,133.05043673,0.0,-0.8669097283698471,-0.3867621754946002,0.26594442336881624
52,214.30056919,132.4206946,0.0,-0.8673335797857309,-0.38228192289628543,0.2679165757127042
53,212.14112494,131.80798667,0.0,-0.8676381634405167,-0.3716255477353741,0.2738150597976774
54,209.96992269,131.23778552,0.0,-0.8667399561335705,-0.350148843635063,0.2867564090143461
55,207.77696815,130.75880631,0.0,-0.8641909114026857,-0.3269759071998056,0.30128942109027107
56,205.56879239,130.35937766,0.0,-0.8594894672680332,-0.3053538115918815,0.31636562783480393
57,203.34687938,130.04517574,0.0,-0.8519306449079339,-0.2833472811722999,0.33369141684868003
58,201.11228426,129.83108883,0.0,-0.8397035664243989,-0.2550446489878685,0.35510119972270343
59,198.8690603,129.75441352,0.0,-0.8259415862894648,-0.23277528922717092,0.37523346004301605
60,196.62579157,129.78443243,0.0,-0.8103789146885806,-0.2164047821342785,0.39479214521344036
61,194.38701705,129.92773597,0.0,-0.7903245801930306,-0.19902467014801237,0.4166121599627413
62,192.15884707,130.20069578,0.0,-0.7637634785896257,-0.18398156774917707,0.44195968445623324
63,189.96502048,130.67436931,0.0,-0.7292519387378364,-0.1626845526351631,0.46879367571752173
64,187.81644616,131.3127206,0.0,-0.6896135046664315,-0.14951549148780838,0.49567644929617183
65,185.72939425,132.12757383,0.0,-0.6513952085103206,-0.14970082187044587,0.519640785680168
66,183.72487943,133.13810285,0.0,-0.5983553065005869,-0.16267958786468414,0.5481143295468832
67,181.88936488,134.42941689,0.0,-0.548327721023682,-0.17971590975582238,0.5695664814253486
68,180.19739076,135.89597091,0.0,-0.5091494659556867,-0.20480005355950903,0.5830732549721499
69,178.65089066,137.51726707,0.0,-0.48316179988180535,-0.2364596867514512,0.590546944873701
70,177.25160756,139.27261756,0.0,-0.4643034845528975,-0.27600461835126616,0.5935949039123462
71,176.02684789,141.15385254,0.0,-0.45886698622089445,-0.30855663632758507,0.5927046111471933
72,174.88386148,143.08474888,0.0,-0.4717761361273431,-0.3886650784730139,0.5743812419664757
73,174.39915232,145.10356733,0.0,-0.5349738480373089,-0.5369052703193112,0.48303978823198435
74,175.13058323,147.18054476,0.0,-0.6958067961502522,-0.43275124165493906,0.26765985271064946
75,177.36687595,147.37610396,0.0,-0.8517445759171359,-0.22890742373265463,0.15089468419087138
76,179.60449926,147.55549031,0.0,-0.8593707901252978,-0.09916431506393125,0.24542633278856746
77,181.84357283,147.71525152,0.0,-0.8572266240897376,-0.1050862615323816,0.257245420243315
78,184.08421146,147.85213987,0.0,-0.8498581571574808,-0.09872081989615396,0.27105019884805764
79,186.3265563,147.95767746,0.0,-0.8447410194311487,-0.0933806835526634,0.27854764620940053
80,188.56950589,148.04903875,0.0,-0.8425949549984689,-0.09219337635278853,0.2824967782230466
81,190.81264255,148.13612476,0.0,-0.8421668499966447,-0.09362937819370748,0.2848231110314438
82,193.05560511,148.22724959,0.0,-0.8448892329823283,-0.10069695421356346,0.28485762133208836
83,195.29711064,148.34932133,0.0,-0.8510860902739483,-0.11435363735767978,0.2818837065757794
84,197.53524379,148.52004649,0.0,-0.8591054955612446,-0.13235539250073214,0.27639280919559067
85,199.76757791,148.75084092,0.0,-0.868052993780328,-0.1546144025395854,0.2687751264840719
86,201.991347,149.05504695,0.0,-0.8788497153968527,-0.19036991067012074,0.2578359057433097
87,204.19295518,149.49341888,0.0,-0.888861364912889,-0.23477810051842044,0.24287605229287765
88,206.36732282,150.04720135,0.0,-0.8936139008812302,-0.2781842640372474,0.22971224280555522
89,208.51087777,150.70846118,0.0,-0.8931368262235457,-0.32351291785766334,0.21911853556298655
90,210.61841114,151.47973297,0.0,-0.8862490975270161,-0.3739839943711522,0.2098571750445396
91,212.6659322,152.40000796,0.0,-0.8715386821870422,-0.431891873654195,0.20138544805923767
92,214.65320064,153.4413854,0.0,-0.8509924481937032,-0.48313332889038474,0.19617750263806388
93,216.5848019,154.58217077,0.0,-0.8310376688348957,-0.5202825992541721,0.19432425909166426
94,218.45945409,155.81618559,0.0,-0.8037919786961233,-0.5606165750257351,0.19322816066242332
95,220.26026632,157.15645566,0.0,-0.7719639293735977,-0.5991871570830939,0.19313206505618644
96,222.00405944,158.56929226,0.0,-0.7481553946219774,-0.6232741640763729,0.19351429461012323
97,223.70811674,160.03004833,0.0,-0.7294508983027916,-0.640010596371206,0.1936348489052576
98,225.37978482,161.5282364,0.0,-0.712561607445879,-0.6539214287310782,0.19283389725268826
